<DATE>;<VALUE>;<TYPE>
16.10.2018;114540;Открытие
16.10.2018;114870;Открытие
16.10.2018;114810;Открытие
16.10.2018;114720;Открытие
16.10.2018;114570;Открытие
16.10.2018;114660;Открытие
16.10.2018;114710;Открытие
16.10.2018;114460;Открытие
16.10.2018;114550;Открытие
16.10.2018;114470;Открытие
16.10.2018;114500;Открытие
16.10.2018;114760;Открытие
16.10.2018;114740;Открытие
16.10.2018;114670;Открытие
16.10.2018;114580;Открытие
16.10.2018;114590;Открытие
16.10.2018;114600;Открытие
16.10.2018;114640;Открытие
16.10.2018;114750;Открытие
16.10.2018;114790;Открытие
16.10.2018;114780;Открытие
16.10.2018;114820;Открытие
16.10.2018;114770;Открытие
16.10.2018;114780;Открытие
16.10.2018;114740;Открытие
16.10.2018;114780;Открытие
16.10.2018;114750;Открытие
16.10.2018;114840;Открытие
16.10.2018;114810;Открытие
16.10.2018;114940;Открытие
16.10.2018;114870;Открытие
16.10.2018;114950;Открытие
16.10.2018;114910;Открытие
16.10.2018;114910;Открытие
16.10.2018;114920;Открытие
16.10.2018;114980;Открытие
16.10.2018;114950;Открытие
16.10.2018;114970;Открытие
16.10.2018;114880;Открытие
16.10.2018;114900;Открытие
16.10.2018;114940;Открытие
16.10.2018;114960;Открытие
16.10.2018;114750;Открытие
16.10.2018;114720;Открытие
16.10.2018;114650;Открытие
16.10.2018;114670;Открытие
16.10.2018;114750;Открытие
16.10.2018;114800;Открытие
16.10.2018;114810;Открытие
16.10.2018;114840;Открытие
16.10.2018;114780;Открытие
16.10.2018;114790;Открытие
16.10.2018;114730;Открытие
16.10.2018;114710;Открытие
16.10.2018;114720;Открытие
16.10.2018;114630;Открытие
16.10.2018;114680;Открытие
16.10.2018;114700;Открытие
16.10.2018;114630;Открытие
16.10.2018;114520;Открытие
16.10.2018;114630;Открытие
16.10.2018;114690;Открытие
16.10.2018;114700;Открытие
16.10.2018;114610;Открытие
16.10.2018;114630;Открытие
16.10.2018;114640;Открытие
16.10.2018;114650;Открытие
16.10.2018;114650;Открытие
16.10.2018;114750;Открытие
16.10.2018;114830;Открытие
16.10.2018;114890;Открытие
16.10.2018;114850;Открытие
16.10.2018;114800;Открытие
16.10.2018;114760;Открытие
16.10.2018;114730;Открытие
16.10.2018;114710;Открытие
16.10.2018;114780;Открытие
16.10.2018;114780;Открытие
16.10.2018;114790;Открытие
16.10.2018;114820;Открытие
16.10.2018;114780;Открытие
16.10.2018;114710;Открытие
16.10.2018;114680;Открытие
16.10.2018;114710;Открытие
16.10.2018;114800;Открытие
16.10.2018;114790;Открытие
16.10.2018;114870;Открытие
16.10.2018;114920;Открытие
16.10.2018;114850;Открытие
16.10.2018;114880;Открытие
16.10.2018;114880;Открытие
16.10.2018;114930;Открытие
16.10.2018;114890;Открытие
16.10.2018;114870;Открытие
16.10.2018;114820;Открытие
16.10.2018;114750;Открытие
16.10.2018;114780;Открытие
16.10.2018;114860;Открытие
16.10.2018;114850;Открытие
16.10.2018;114940;Открытие
16.10.2018;114930;Открытие
16.10.2018;114940;Открытие
16.10.2018;114950;Открытие
16.10.2018;114970;Открытие
16.10.2018;114930;Открытие
16.10.2018;114950;Открытие
16.10.2018;114950;Открытие
16.10.2018;114950;Открытие
16.10.2018;114960;Открытие
16.10.2018;115000;Открытие
16.10.2018;115030;Открытие
16.10.2018;115070;Открытие
16.10.2018;115020;Открытие
16.10.2018;115070;Открытие
16.10.2018;115070;Открытие
16.10.2018;115060;Открытие
16.10.2018;115010;Открытие
16.10.2018;114920;Открытие
16.10.2018;114910;Открытие
16.10.2018;114960;Открытие
16.10.2018;115030;Открытие
16.10.2018;115040;Открытие
16.10.2018;114930;Открытие
16.10.2018;114860;Открытие
16.10.2018;114860;Открытие
16.10.2018;114860;Открытие
16.10.2018;114850;Открытие
16.10.2018;114880;Открытие
16.10.2018;114860;Открытие
16.10.2018;114890;Открытие
16.10.2018;114840;Открытие
16.10.2018;114890;Открытие
16.10.2018;114920;Открытие
16.10.2018;114870;Открытие
16.10.2018;114850;Открытие
16.10.2018;114910;Открытие
16.10.2018;114960;Открытие
16.10.2018;114990;Открытие
16.10.2018;115010;Открытие
16.10.2018;115010;Открытие
16.10.2018;115090;Открытие
16.10.2018;115070;Открытие
16.10.2018;115050;Открытие
16.10.2018;115000;Открытие
16.10.2018;114960;Открытие
16.10.2018;114960;Открытие
16.10.2018;114950;Открытие
16.10.2018;115040;Открытие
16.10.2018;115000;Открытие
16.10.2018;114980;Открытие
16.10.2018;114990;Открытие
16.10.2018;114990;Открытие
16.10.2018;114910;Открытие
16.10.2018;114910;Открытие
16.10.2018;114940;Открытие
16.10.2018;114920;Открытие
16.10.2018;114930;Открытие
16.10.2018;114870;Открытие
16.10.2018;114870;Открытие
16.10.2018;114900;Открытие
16.10.2018;114930;Открытие
16.10.2018;114960;Открытие
16.10.2018;114960;Открытие
16.10.2018;114950;Открытие
16.10.2018;114900;Открытие
16.10.2018;114870;Открытие
16.10.2018;114890;Открытие
16.10.2018;114960;Открытие
16.10.2018;115020;Открытие
16.10.2018;114950;Открытие
16.10.2018;114990;Открытие
16.10.2018;115000;Открытие
16.10.2018;115030;Открытие
16.10.2018;115000;Открытие
16.10.2018;114960;Открытие
16.10.2018;114890;Открытие
16.10.2018;114940;Открытие
16.10.2018;114970;Открытие
16.10.2018;115000;Открытие
16.10.2018;115000;Открытие
16.10.2018;115000;Открытие
16.10.2018;115000;Открытие
16.10.2018;114960;Открытие
16.10.2018;114950;Открытие
16.10.2018;115000;Открытие
16.10.2018;114980;Открытие
16.10.2018;114970;Открытие
16.10.2018;114930;Открытие
16.10.2018;114900;Открытие
16.10.2018;114920;Открытие
16.10.2018;114910;Открытие
16.10.2018;114820;Открытие
16.10.2018;114870;Открытие
16.10.2018;114820;Открытие
16.10.2018;114800;Открытие
16.10.2018;114820;Открытие
16.10.2018;114750;Открытие
16.10.2018;114760;Открытие
16.10.2018;114760;Открытие
